AGENCY_AREA,REPORTING_AREA,SITE_ID,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_METHOD,ANALYSIS_ID,ANALYSIS_TYPE,ANALYSIS_METHOD,TAXON_LIST_ITEM_KEY,TOTAL_ABUNDANCE,ABUNDANCE_CATEGORY,WATERBODY_TYPE
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100042293,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100043397,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100045634,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100045938,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100046516,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100046637,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100050057,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,167406,SP,S3PO,115791,LABP,ANLE,NBNSYS0100054071,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,148952,SP,S3PO,116627,LABP,ANLE,NBNSYS0100043397,333,C,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,148952,SP,S3PO,116627,LABP,ANLE,NBNSYS0100046516,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,148952,SP,S3PO,116627,LABP,ANLE,NBNSYS0100047434,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,148952,SP,S3PO,116627,LABP,ANLE,NBNSYS0100050057,333,C,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149203,SP,S3PO,116945,LABP,ANLE,NBNSYS0100043397,333,C,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149203,SP,S3PO,116945,LABP,ANLE,NBNSYS0100046516,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149203,SP,S3PO,116945,LABP,ANLE,NBNSYS0100050057,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149203,SP,S3PO,116945,LABP,ANLE,NBNSYS0100052557,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149203,SP,S3PO,116945,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100042293,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100043397,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100045938,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100046516,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100046637,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100050057,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,174807,SP,S3PO,117019,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100043397,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100044698,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100046516,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100048387,1,A,WBRV
